step,psnr_dB
1,10.204421043395996
50,18.36635971069336
100,22.672231674194336
150,23.27581214904785
200,24.325685501098633
250,24.392976760864258
300,24.843948364257812
350,24.795724868774414
400,25.065547943115234
450,25.275314331054688
500,25.21854591369629
550,25.167512893676758
600,25.497636795043945
650,25.50088119506836
700,25.685518264770508
750,25.621131896972656
800,25.458744049072266
850,25.677234649658203
900,25.790224075317383
950,25.976184844970703
1000,25.733354568481445
1050,25.903240203857422
1100,25.68362045288086
1150,25.93167495727539
1200,25.320043563842773
1250,25.9353084564209
1300,25.846078872680664
1350,25.942392349243164
1400,26.122737884521484
1450,26.056198120117188
1500,25.96939468383789
1550,26.104270935058594
1600,26.000072479248047
1650,25.873432159423828
1700,26.17639923095703
1750,25.98780632019043
1800,26.30498695373535
1850,26.220319747924805
1900,26.26775360107422
1950,26.082351684570312
2000,26.238914489746094
