step,psnr_dB
1,8.104392051696777
50,20.972993850708008
100,24.512840270996094
150,25.35791015625
200,26.656837463378906
250,27.155210494995117
300,27.047473907470703
350,27.571334838867188
400,27.892536163330078
450,27.852237701416016
500,28.128564834594727
550,28.7421817779541
600,28.579788208007812
650,28.64727783203125
700,28.886878967285156
750,28.63581085205078
800,29.085466384887695
850,29.334503173828125
900,28.91742515563965
950,28.90144157409668
1000,28.890453338623047
1050,29.14166259765625
1100,29.444360733032227
1150,29.377017974853516
1200,29.649564743041992
1250,29.605712890625
1300,29.625526428222656
1350,29.55199432373047
1400,29.40831756591797
1450,28.754989624023438
1500,29.73775863647461
1550,29.864442825317383
1600,29.79778289794922
1650,29.855758666992188
1700,30.114213943481445
1750,29.576374053955078
1800,29.8679256439209
1850,30.18618392944336
1900,29.955623626708984
1950,29.866025924682617
2000,29.875507354736328
